title,author,date,views,likes,link
"Caregiving Is Real Work — Let’s Treat It That Way | The Way We Work, a TED series",Unknown,October 2023,87781,1945,https://www.youtube.com/watch?v=XezfOVE9RFM
The Ordinary People Doing Extraordinary Things in Ukraine,Oleksandra Matviichuk,October 2023,40005,2139,https://www.youtube.com/watch?v=lpCPRE3oSTE
Let’s Reframe Cancel Culture,Sarah Jones,October 2023,45390,1001,https://www.youtube.com/watch?v=H8kr_V3fEGA
The Joy of Learning Random Things on Wikipedia,Annie Rauwerda,October 2023,77367,2331,https://www.youtube.com/watch?v=WCmeOccXRq8
Unions for Climate Action!,Payton M. Wilkins,October 2023,26237,484,https://www.youtube.com/watch?v=HEkmWdapz4c
"How Rest Can Make You Better at Your Job | The Way We Work, a TED series",Unknown,October 2023,128667,3292,https://www.youtube.com/watch?v=rXxUCeRVma4
"What Does ""Wealth"" Mean to You?",Aisha Nyandoro,October 2023,57164,1497,https://www.youtube.com/watch?v=tPlQGy-9hSI
We Actually Have a Shot at Stopping the Climate Crisis,Asmeret Asefaw Berhe,October 2023,35342,741,https://www.youtube.com/watch?v=RB0zvhRZu-0
"""Miles from Any Shoreline""",Sarah Kay,October 2023,43959,1175,https://www.youtube.com/watch?v=NRv7r5aKgOc
Work Has Changed. Why Haven’t Resumes?,Nicos Marcou,October 2023,55926,1357,https://www.youtube.com/watch?v=WMtyJw4NED8
"Lessons from My Father, Alexey Navalny",Dasha Navalnaya,October 2023,479966,21944,https://www.youtube.com/watch?v=l4Lq7gaKW4A
The Tech We Need to Fight Workplace Ageism,Piyachart Phiromswad,October 2023,30606,598,https://www.youtube.com/watch?v=B8dBA3klR0o
3 Practices for Wisdom and Wholeness,Krista Tippett,October 2023,75009,1378,https://www.youtube.com/watch?v=McX2ZovIrCg
"3 Ways to Better Connect with Your Coworkers | The Way We Work, a TED series",Unknown,October 2023,102976,2214,https://www.youtube.com/watch?v=zgtD2Cerots
The Israel-Hamas War — and What It Means for the World,Ian Bremmer,October 2023,1807536,26997,https://www.youtube.com/watch?v=wQmBsbt9blg
How to Fix Fashion and Protect the Planet,Amy Powney,October 2023,38153,955,https://www.youtube.com/watch?v=xnPaaxytfGs
How Business Can Drive Solutions to Social Problems,Carlos Rodríguez-Pastor,October 2023,59134,1135,https://www.youtube.com/watch?v=e1AibqnDvEk
The Encyclopedia of Invisibility — A Home for Lost Stories,Tavares Strachan,October 2023,62448,947,https://www.youtube.com/watch?v=yRWf28j7yVQ
10 Lessons I Learned From Being a Nerd,Jordan Dinwiddie,October 2023,46138,1205,https://www.youtube.com/watch?v=xzSpuLJoEes
The Truth About Human Population Decline,Jennifer D. Sciubba,October 2023,554451,11896,https://www.youtube.com/watch?v=PImDVT8fb-I
